a_a_project,project_start_year,project_end_year,project_duration_year,mis_code_nsrf_2007_20,rtdi_sector,rtdi_subsector,scientific_field,type_of_beneficiary,type_of_research_organization,role_of_beneficiary,region,final_projects_budget_at_the_end_of_the_project,final_public_expenditure_at_the_end,pct_absorption_rate_per_budget,pct_absorption_rate_per_public_expenditure,indicator_1_new_jobs_ipa,indicator_3_new_jobs_womens_ipa,indicator_4_number_of_rdti_projects,indicator_5_num_coop_company_research_instit,indicator_6_num_of_research_job_ipa,indicator_9_num_of_jobs_ipa_smes,indicator_10_induced_investments,indicator_501_jobs_dur_the_operat_ipa,indicator_3103_num_company_res_lab_busin_collab,indicator_3104_num_new_business_rtd,indicator_3106_num_company_benef,indicator_3107_num_smes_com_benef,indicator_3110_num_of_smes_benef,indicator_3111_num_spin_off_spin_outs,indicator_3112_num_of_joint_project_other_countries,indicator_3115_num_of_patent,indicator_3121_num_of_lab_supp,indicator_3204_num_of_business_will_be_supported,indicator_6913_num_res_part,indicator_8004_stud_research_evaluat,indicator_8009_num_events,gdp_region_start_year,gdp_region_end_year,gdp_region_per_person_start_year,gdp_region_per_person_end_year,gross_value_added_region_start_year,gross_value_added_region_end_year,employment_region_start_year,employment_region_end_year,employment_r_d_number_region_start_year,employment_r_d_number_region_end_year,employment_r_d_ipa_region_start_year,employment_r_d_ipa_region_end_year,researchers_number_region_start_year,researchers_numbers_region_end_year,researchers_ipa_region_start_year,researchers_ipa_region_end_year,number_of_business_region_start_year,number_of_business_region_end_year,educational_institution_per_region,research_center_per_region,r_d_exp_region_start_year,r_d_exp_region_end_year,r_d_per_inhabitant_region_2015,r_d_exp_int_region_start_year,r_d_exp_int_region_end_year,intensity_r_d_exp_start_year,intensity_r_d_exp_end_year,percent_innov_busi_region_2010_2012,percent_company_innov_prod_region_2010_2012,exp_innov_act_region_2012,rate_busin_region_newproducts,rate_turnover_innovative_products_region_2012,rate_busin_region_collaborations_with_any_organiz,rate_busin_region_innovating_or_marketing_2012_2014,numb_sc_pub_per_million_rd_region_2011,numb_sc_pub_per_ipa_region_2011,impact_index_of_publications_by_region_2010_2014,numb_sc_pub_per_million_rd_region_2010_2014,numb_sc_pub_per_ipa_region_2015,numb_sc_pub_per_region_2010_2014,numb_report_sc_pub_region_2010_2014,numb_inter_collab_per_region_2010_2014,numb_sc_pub_per_region_2012_2016,numb_sc_pub_per_region_2012_2016_1,numb_sc_pub_per_region_2012_2016_2,numb_sc_pub_per_region_2014_2016,nuts_id,region_el,lat,lon
1729,2015,2016,1,524828,Cultural Heritage,Development of knowledge and understanding of cultural heritage,Social Sciences,Research institution,Universities/Technological Education Institutes,Unique Beneficiary,Central Makedonia,86594.8,86594.8,0.7529982608695652,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,23817,23801,14416,14639,26587,20760,692543.6,719161.3,14915,14915,7624,7624,10699,10699,5958,5958,245144,240711,5,4,201.44,201.44,106.4,0.00845782424318764,0.008463509936557288,0.001594659276987026,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
1730,2015,2016,1,524830,Information and Communication Technologies,"Governance, Society and Quality of Life",Engineering Sciences,Research institution,Research Center,Unique Beneficiary,Attica,139199.77,139199.77,0.9279984666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,83617,83007,21992,21975,73882,72400,1649498.3,1713069.0,47427,47427,24426,24426,29384,29384,17031,17031,364374,342990,12,26,966.92,966.92,252.9,0.011563677242665965,0.011648656137434191,0.005419830895631271,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
1731,2015,2016,1,524831,Environment,"Climate, Climate change and climate change, natural risks - Disasters",Natural sciences,Research institution,Universities/Technological Education Institutes,Unique Beneficiary,Attica,72204.67000000001,72204.67000000001,0.5781274270573681,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,83617,83007,21992,21975,73882,72400,1649498.3,1713069.0,47427,47427,24426,24426,29384,29384,17031,17031,364374,342990,12,26,966.92,966.92,252.9,0.011563677242665965,0.011648656137434191,0.005419830895631271,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
1732,2015,2016,1,524832,Nanotechnology - Nanoscience and Microelectronics,Nanotechnology and nanosciences,Engineering Sciences,Research institution,Universities/Technological Education Institutes,Unique Beneficiary,Crete,98866.32,98866.32,0.9477884942802713,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8826,8606,13972,13611,7798,7506,258196.1,266486.1,6793,6793,4048,4048,3981,3981,2498,2498,114482,129132,3,4,134.72,134.72,213.3,0.015263992748697032,0.015654194747850337,0.0010469068660774984,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
1733,2015,2016,1,524833,Environment,Environmental Intelligence,Natural sciences,Research institution,Universities/Technological Education Institutes,Unique Beneficiary,Eastern Macedonia & Thrace,124985.5,124985.5,0.8927535714285715,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,6786,6808,11207,11277,5996,5938,225999.4,231101.1,3628,3628,1126,1126,2070,2070,1726,1726,90157,90477,2,1,47.06,47.06,77.6,0.006934865900383142,0.006912455934195065,0.0008384910109048041,0.0008357814336075206,0.369,0.212,0.0036,0.091,0.084,0.096,0.281,52.7,2.4,4.44,55.1,2.3,2591,11510,787,2618,2760,16049,17844,EL51,Ανατολική Μακεδονία και Θράκη,41.12,24.89
1734,2015,2016,1,524834,Information and Communication Technologies,Microelectronic devices and integrated circuits and systems,Engineering Sciences,Research institution,Universities/Technological Education Institutes,Unique Beneficiary,Attica,61490.0,61490.0,0.7489829228483033,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,83617,83007,21992,21975,73882,72400,1649498.3,1713069.0,47427,47427,24426,24426,29384,29384,17031,17031,364374,342990,12,26,966.92,966.92,252.9,0.011563677242665965,0.011648656137434191,0.005419830895631271,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
1735,2015,2016,1,524835,Social and Economic Development Dimension,Human and Social Capital,Social Sciences,Research institution,Universities/Technological Education Institutes,Unique Beneficiary,Eastern Macedonia & Thrace,108262.18,108262.18,0.9021848333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,6786,6808,11207,11277,5996,5938,225999.4,231101.1,3628,3628,1126,1126,2070,2070,1726,1726,90157,90477,2,1,47.06,47.06,77.6,0.006934865900383142,0.006912455934195065,0.0008384910109048041,0.0008357814336075206,0.369,0.212,0.0036,0.091,0.084,0.096,0.281,52.7,2.4,4.44,55.1,2.3,2591,11510,787,2618,2760,16049,17844,EL51,Ανατολική Μακεδονία και Θράκη,41.12,24.89
1736,2015,2016,1,524837,High-Value Added Products and Production Technologies focusing on Traditional Industries,"Product design (textiles, construction)",Natural sciences,Research institution,Research Center,Unique Beneficiary,Central Makedonia,85150.54,85150.54,0.9160207407726152,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,23817,23801,14416,14639,26587,20760,692543.6,719161.3,14915,14915,7624,7624,10699,10699,5958,5958,245144,240711,5,4,201.44,201.44,106.4,0.00845782424318764,0.008463509936557288,0.001594659276987026,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
1737,2015,2016,1,524838,Social and Economic Development Dimension,Human and Social Capital,Social Sciences,Research institution,Universities/Technological Education Institutes,Unique Beneficiary,Central Makedonia,127924.01,127924.01,0.8528267333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,23817,23801,14416,14639,26587,20760,692543.6,719161.3,14915,14915,7624,7624,10699,10699,5958,5958,245144,240711,5,4,201.44,201.44,106.4,0.00845782424318764,0.008463509936557288,0.001594659276987026,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
1738,2013,2016,3,453504,Environment,Environmental technologies,Natural sciences,Business,0,Unique Beneficiary,Attica,59440.21,47552.17,0.987378903654485,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,86156,83007,22158,21975,76377,72400,1628219.3,1713069.0,36307,47427,20243,24426,22965,29384,13631,17031,357721,342990,12,26,820.27,966.92,252.9,0.009520753052602256,0.011648656137434191,0.004513556803937045,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
1739,2013,2016,3,453513,Energy,Production of fuels from RES,Natural sciences,Business,0,Unique Beneficiary,Crete,174100.0,139279.99,1.0,,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8608,8606,13653,13611,7631,7506,257646.2,266486.1,7003,6793,4051,4048,4440,3981,2718,2498,63361,129132,3,4,120.68,134.72,213.3,0.014019516728624537,0.015654194747850337,0.0006517193308550187,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
1740,2013,2016,3,453528,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Business,0,Unique Beneficiary,Western Greece,85282.64000000001,68226.12,0.794065549348231,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8232,7832,12103,11758,7298,6831,247076.4,252105.2,5780,7013,2352,2994,4327,4410,1735,2021,54846,96579,3,5,79.72,106.93,158.8,0.00968415937803693,0.013652962206332993,0.0015051020408163266,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
1741,2013,2016,3,453591,"Agriculture-Fisheries-Livestock Farming-Food and 
Biotechnology",Food,Engineering Sciences,Business,0,Unique Beneficiary,Western Greece,112624.23,90099.38,0.954442627118644,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8232,7832,12103,11758,7298,6831,247076.4,252105.2,5780,7013,2352,2994,4327,4410,1735,2021,54846,96579,3,5,79.72,106.93,158.8,0.00968415937803693,0.013652962206332993,0.0015051020408163266,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
1742,2013,2016,3,456960,Environment,"Sustainable development, management and valuation of ecosystems and natural capital in Greece",Engineering Sciences,Business,0,Unique Beneficiary,Crete,135401.1,108320.88,0.7326899350649351,,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8608,8606,13653,13611,7631,7506,257646.2,266486.1,7003,6793,4051,4048,4440,3981,2718,2498,63361,129132,3,4,120.68,134.72,213.3,0.014019516728624537,0.015654194747850337,0.0006517193308550187,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
1743,2013,2016,3,457007,Environment,"Climate, Climate change and climate change, natural risks - Disasters",Engineering Sciences,Business,0,Unique Beneficiary,Crete,128439.95,102751.95999999999,0.6950213744588745,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8608,8606,13653,13611,7631,7506,257646.2,266486.1,7003,6793,4051,4048,4440,3981,2718,2498,63361,129132,3,4,120.68,134.72,213.3,0.014019516728624537,0.015654194747850337,0.0006517193308550187,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
1744,2013,2016,3,457012,Cultural Heritage,Development of knowledge and understanding of cultural heritage,Human Sciences,Business,0,Unique Beneficiary,Western Greece,158173.87,126539.1,0.8559192099567099,,5.71,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8232,7832,12103,11758,7298,6831,247076.4,252105.2,5780,7013,2352,2994,4327,4410,1735,2021,54846,96579,3,5,79.72,106.93,158.8,0.00968415937803693,0.013652962206332993,0.0015051020408163266,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
1745,2013,2016,3,457013,Environment,Environmental technologies,Natural sciences,Business,0,Unique Beneficiary,Thessaly,74962.44,59969.95,0.9393789473684211,,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8942,8843,12090,12152,7927,7713,285604.5,286686.7,3487,3714,1676,1953,2477,2473,1356,1467,63267,112596,2,4,50.27,59.91,81.7,0.005621784835607247,0.006774850163971503,0.00047640348915231487,0.0002827094877304082,0.495,0.331,0.0021,0.079,0.047,0.179,0.438,54.8,2.6,4.58,53.5,2.2,3205,14665,1238,3358,3525,19012,22469,EL61,Θεσσαλία,39.64,22.42
1746,2013,2016,3,457014,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Business,0,Unique Beneficiary,Attica,79170.98999999999,63336.79000000001,0.999633712121212,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,86156,83007,22158,21975,76377,72400,1628219.3,1713069.0,36307,47427,20243,24426,22965,29384,13631,17031,357721,342990,12,26,820.27,966.92,252.9,0.009520753052602256,0.011648656137434191,0.004513556803937045,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
1747,2013,2016,3,457016,Information and Communication Technologies,Communications Networks and Infrastructure for the Development of Information Services,Natural sciences,Business,0,Unique Beneficiary,Central Makedonia,166215.36,132972.29,0.9680004659018111,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,23966,23801,14594,14639,26587,20760,684883.8,719161.3,13771,14915,6822,7624,9638,10699,5189,5958,170112,240711,5,4,183.3,201.44,106.4,0.007648335141450389,0.008463509936557288,0.0012592839856463323,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
1748,2013,2016,3,457017,High-Value Added Products and Production Technologies focusing on Traditional Industries,"Smart products (textiles, construction)",Engineering Sciences,Business,0,Unique Beneficiary,Western Greece,107071.74,85657.39,0.9431971458773785,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8232,7832,12103,11758,7298,6831,247076.4,252105.2,5780,7013,2352,2994,4327,4410,1735,2021,54846,96579,3,5,79.72,106.93,158.8,0.00968415937803693,0.013652962206332993,0.0015051020408163266,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
1749,2013,2016,3,457211,Social and Economic Development Dimension,Human and Social Capital,Social Sciences,Business,0,Unique Beneficiary,Thessaly,112243.83,89795.06,0.9887581923890063,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8942,8843,12090,12152,7927,7713,285604.5,286686.7,3487,3714,1676,1953,2477,2473,1356,1467,63267,112596,2,4,50.27,59.91,81.7,0.005621784835607247,0.006774850163971503,0.00047640348915231487,0.0002827094877304082,0.495,0.331,0.0021,0.079,0.047,0.179,0.438,54.8,2.6,4.58,53.5,2.2,3205,14665,1238,3358,3525,19012,22469,EL61,Θεσσαλία,39.64,22.42
1750,2013,2016,3,457221,Information and Communication Technologies,Applications in the Economy,Engineering Sciences,Business,0,Unique Beneficiary,Crete,98525.01000000001,78820.01000000001,0.9992394523326573,,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8608,8606,13653,13611,7631,7506,257646.2,266486.1,7003,6793,4051,4048,4440,3981,2718,2498,63361,129132,3,4,120.68,134.72,213.3,0.014019516728624537,0.015654194747850337,0.0006517193308550187,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
1751,2013,2016,3,457765,Information and Communication Technologies,"Information Systems Technologies, Knowledge Management and Communication with the Environment",Natural sciences,Business,0,Unique Beneficiary,Attica,120172.51000000001,96138.01000000001,0.8643017117376295,,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,86156,83007,22158,21975,76377,72400,1628219.3,1713069.0,36307,47427,20243,24426,22965,29384,13631,17031,357721,342990,12,26,820.27,966.92,252.9,0.009520753052602256,0.011648656137434191,0.004513556803937045,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
1752,2013,2016,3,457776,Health,"Public health, health system and policy support",Medical Sciences,Business,0,Unique Beneficiary,Thessaly,58141.49,46513.19,0.9738943048576214,,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8942,8843,12090,12152,7927,7713,285604.5,286686.7,3487,3714,1676,1953,2477,2473,1356,1467,63267,112596,2,4,50.27,59.91,81.7,0.005621784835607247,0.006774850163971503,0.00047640348915231487,0.0002827094877304082,0.495,0.331,0.0021,0.079,0.047,0.179,0.438,54.8,2.6,4.58,53.5,2.2,3205,14665,1238,3358,3525,19012,22469,EL61,Θεσσαλία,39.64,22.42
1753,2013,2016,3,463986,Information and Communication Technologies,"Information Systems Technologies, Knowledge Management and Communication with the Environment",Natural sciences,Business,0,Unique Beneficiary,Attica,101846.76999999999,81477.42,0.9191946750902527,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,86156,83007,22158,21975,76377,72400,1628219.3,1713069.0,36307,47427,20243,24426,22965,29384,13631,17031,357721,342990,12,26,820.27,966.92,252.9,0.009520753052602256,0.011648656137434191,0.004513556803937045,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
1754,2013,2016,3,464002,Environment,Environmental Intelligence,Engineering Sciences,Business,0,Unique Beneficiary,Western Greece,101400.0,81120.0,1.0,,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8232,7832,12103,11758,7298,6831,247076.4,252105.2,5780,7013,2352,2994,4327,4410,1735,2021,54846,96579,3,5,79.72,106.93,158.8,0.00968415937803693,0.013652962206332993,0.0015051020408163266,0.0018973442288049028,0.433,0.228,0.0029,0.098,0.064,0.118,0.353,67.2,3.2,5.06,52.6,2.8,5629,28471,2235,5628,5752,35634,43969,EL63,Δυτική Ελλάδα,38.25,21.73
1755,2013,2016,3,464062,"Agriculture-Fisheries-Livestock Farming-Food and 
Biotechnology",Food,Natural sciences,Business,0,Unique Beneficiary,Crete,50784.18,38984.94,0.9160205627705628,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8608,8606,13653,13611,7631,7506,257646.2,266486.1,7003,6793,4051,4048,4440,3981,2718,2498,63361,129132,3,4,120.68,134.72,213.3,0.014019516728624537,0.015654194747850337,0.0006517193308550187,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
1756,2013,2016,3,464065,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Business,0,Unique Beneficiary,Crete,48749.88,38999.9,0.9232931818181818,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8608,8606,13653,13611,7631,7506,257646.2,266486.1,7003,6793,4051,4048,4440,3981,2718,2498,63361,129132,3,4,120.68,134.72,213.3,0.014019516728624537,0.015654194747850337,0.0006517193308550187,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
1757,2013,2016,3,464072,Cultural Heritage,Development of knowledge and understanding of cultural heritage,Human Sciences,Business,0,Unique Beneficiary,Attica,68328.29000000001,54662.630000000005,0.9569788515406163,,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,86156,83007,22158,21975,76377,72400,1628219.3,1713069.0,36307,47427,20243,24426,22965,29384,13631,17031,357721,342990,12,26,820.27,966.92,252.9,0.009520753052602256,0.011648656137434191,0.004513556803937045,0.0054596600286722806,0.543,0.362,0.0111,0.168,0.124,0.145,0.493,33.3,2.4,6.55,30.6,1.7,29588,193686,14153,30504,31556,273447,296844,EL30,Αττική,37.98,23.72
1758,2013,2016,3,464076,Information and Communication Technologies,"Information Systems Technologies, Knowledge Management and Communication with the Environment",Agricultural Sciences,Business,0,Unique Beneficiary,Central Makedonia,81789.16999999998,65431.340000000004,0.9067535476718401,,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,23966,23801,14594,14639,26587,20760,684883.8,719161.3,13771,14915,6822,7624,9638,10699,5189,5958,170112,240711,5,4,183.3,201.44,106.4,0.007648335141450389,0.008463509936557288,0.0012592839856463323,0.0015957312717953026,0.413,0.189,0.0029,0.107,0.109,0.107,0.388,26.08,1.8,3.97,59.9,2.0,12075,67918,5101,12613,13099,100700,116395,EL52,Κεντρική Μακεδονία,40.64,22.94
1759,2013,2016,3,464101,Information and Communication Technologies,Communications Networks and Infrastructure for the Development of Information Services,Engineering Sciences,Business,0,Unique Beneficiary,Crete,155318.63,124254.9,0.883496188850967,,5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8608,8606,13653,13611,7631,7506,257646.2,266486.1,7003,6793,4051,4048,4440,3981,2718,2498,63361,129132,3,4,120.68,134.72,213.3,0.014019516728624537,0.015654194747850337,0.0006517193308550187,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
1760,2013,2016,3,464648,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Business,0,Unique Beneficiary,Crete,47022.36,37617.89,0.895664,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8608,8606,13653,13611,7631,7506,257646.2,266486.1,7003,6793,4051,4048,4440,3981,2718,2498,63361,129132,3,4,120.68,134.72,213.3,0.014019516728624537,0.015654194747850337,0.0006517193308550187,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
1761,2013,2016,3,464654,Health,"Innovative diagnostic, imaging and therapeutic approaches, tools, provisions and methodologies",Medical Sciences,Business,0,Unique Beneficiary,Crete,175239.7,140191.76,0.9620097716293369,,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8608,8606,13653,13611,7631,7506,257646.2,266486.1,7003,6793,4051,4048,4440,3981,2718,2498,63361,129132,3,4,120.68,134.72,213.3,0.014019516728624537,0.015654194747850337,0.0006517193308550187,0.0010736695328840344,0.652,0.506,0.0035,0.107,0.094,0.075,0.482,55.3,2.7,7.5,51.9,2.8,6995,52469,4062,7210,7368,70590,78674,EL43,Κρήτη,35.24,24.81
1762,2013,2016,3,464657,Environment,"Sustainable development, management and valuation of ecosystems and natural capital in Greece",Social Sciences,Business,0,Unique Beneficiary,Eastern Macedonia & Thrace,107037.14,85629.70999999999,0.9653421717171717,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,6983,6808,11463,11277,6190,5938,227541.8,231101.1,4130,3628,1338,1126,2606,2070,1925,1726,54116,90477,2,1,43.21,47.06,77.6,0.006187884863239295,0.006912455934195065,0.0014406415580695976,0.0008357814336075206,0.369,0.212,0.0036,0.091,0.084,0.096,0.281,52.7,2.4,4.44,55.1,2.3,2591,11510,787,2618,2760,16049,17844,EL51,Ανατολική Μακεδονία και Θράκη,41.12,24.89
1763,2013,2016,3,464659,Environment,Environmental technologies,Natural sciences,Business,0,Unique Beneficiary,Peloponnese,114318.64,91454.90999999999,0.9889155709342561,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,8009,7934,13666,13677,7100,6920,230297.5,234479.7,2296,2296,1247,1247,1371,1371,820,820,54908,111228,2,1,30.82,31.14,53.4,0.0038481708078411786,0.003924880262162844,0.0009389436883506055,0.00041215023947567433,0.491,0.275,0.0075,0.107,0.019,0.069,0.427,12.5,0.8,3.84,12.8,0.5,399,1534,164,446,487,2338,4038,EL65,Πελοπόννησος,37.5,22.37
